Description	E1-2.5																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 12:53																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	10																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
416	88.4842	77.0706	71.2925	68.7283	59.0566	52.5983	48.577	43.7435	42.7571	41.3476	42.3993	43.9181	45.6052	46.0453	45.5539	44.0275	41.9676	40.0647	38.1902	34.3642	30.3011	27.2366	22.8265	17.9656	15.688	13.0698	10.5281	7.9977	5.9125	3.6078	1.629	0.5181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	92.0977	92.0099	75.3354	70.2812	62.8405	54.6189	49.5656	46.1337	43.281	42.2079	42.2937	45.3046	45.0795	46.3881	46.2408	44.651	44.0754	40.4666	38.6766	35.2097	31.7032	29.2009	24.625	19.0857	16.5349	13.9055	11.4197	8.9394	6.6927	4.4578	2.1058	1.2497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	102.4716	90.8016	78.7296	71.9585	63.0978	56.7103	51.8534	45.1676	44.9269	43.5311	43.2035	44.04	46.1998	47.5431	46.7461	46.8018	43.9224	41.9578	39.1568	36.5586	32.2927	29.4679	25.1247	20.2125	17.4499	14.8716	12.3413	9.8868	7.7096	5.0205	2.9554	1.3344	0.2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
422	93.9885	90.4696	87.0329	74.9583	67.4937	58.6078	52.6739	47.5908	44.6925	44.6309	44.8258	44.7254	47.1939	48.1248	48.4588	47.252	45.5238	43.0348	40.0648	37.6377	35.1562	31.0464	27.3498	23.1971	18.438	15.8475	13.195	10.8425	8.5656	5.8945	3.788	1.9818	1.1819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
424	95.0102	90.3475	82.0408	78.3682	68.4336	59.3054	53.8009	48.5165	46.8232	44.6141	46.7903	46.8339	48.5941	49.3199	50.0372	49.0126	46.7751	44.8995	41.6533	39.3396	36.8087	32.3846	28.0911	23.552	19.4323	16.7528	14.0542	11.8044	9.19	6.5345	4.2876	2.6025	1.4498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	104.4474	97.7259	84.0582	74.8806	70.7033	60.5436	54.7417	50.1266	47.0448	44.329	44.7665	47.7371	48.6426	49.5261	49.7272	48.5357	47.5673	46.0056	42.796	40.3879	36.8383	33.5502	29.4484	25.4952	20.4659	17.6536	15.0505	12.6112	9.8342	7.7894	5.3253	3.1524	1.5504	0.5666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
428	110.9309	92.4795	84.6372	76.222	70.4463	62.2703	55.6888	50.5302	48.0058	47.7098	47.0851	46.7909	49.3295	49.6904	49.7976	50.2977	48.8458	47.3897	43.2814	40.5745	37.954	34.6414	30.8325	27.485	22.5666	18.5923	16.0818	13.0808	10.5011	8.1738	5.8957	3.7457	2.495	1.2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430	102.8636	91.2757	86.2008	78.1194	72.4487	62.5038	55.597	52.6328	48.1222	47.4759	47.4306	48.4211	49.9066	50.1778	50.718	50.4056	48.7058	48.3311	45.0156	43.4348	39.2964	35.0978	31.9387	27.9023	24.1915	19.5418	16.7578	13.5554	11.1758	8.8455	6.5492	4.5635	2.7507	1.5904	0.0253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
432	110.5632	96.2614	83.2975	82.5092	72.8924	67.1271	57.4616	52.1222	49.8138	47.063	46.8927	47.5993	49.6806	50.8361	51.5605	51.7741	49.6915	48.4494	46.0534	43.5744	40.2766	36.8946	32.7762	28.756	24.7102	20.4795	17.2376	14.2363	11.8477	9.5147	7.2163	5.2646	3.3456	2.0577	1.1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
434	96.8913	101.6222	85.4865	82.6223	71.0249	64.2332	56.7822	53.6847	49.1222	46.3124	48.3969	48.2019	50.2762	51.6175	52.8526	51.1721	51.0051	49.9298	47.682	44.2911	41.1462	36.799	32.9079	29.9108	25.8736	21.8078	17.7215	14.9237	12.5308	10.1904	7.9334	5.7724	3.9324	2.543	1.5752	0.3234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
