Description	Scan series EEM_1.prn through EEM_53.prn																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	3/5/2013 16:03																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	6																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
404	111.0306	98.4689	85.6224	75.2147	63.9845	59.182	52.6662	49.701	45.5829	45.1635	46.9424	48.9435	48.9875	49.4434	48.042	46.862	44.2681	41.6563	38.1769	34.6773	30.0966	25.3919	22.0328	18.8953	15.7232	12.6096	9.6622	6.4287	4.0954	2.4266	0.1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	108.593	97.8818	88.1022	78.3406	66.8867	59.8678	52.5607	48.3407	47.569	46.3173	48.488	50.1827	50.691	51.3342	51.4136	48.6075	46.784	43.3157	39.4396	36.5666	32.2654	26.813	23.3851	20.1361	16.9176	13.7283	10.8107	7.7188	4.6071	3.3256	0.9738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408	118.1294	101.2393	89.3077	79.6172	70.1897	63.0698	54.8152	50.6441	49.7449	47.7369	49.4717	50.3821	52.8923	52.125	52.4333	50.1075	48.2114	45.5654	41.5385	38.6141	34.1455	29.1558	24.7747	21.4086	18.0574	14.8673	11.7671	8.7196	5.9025	3.8742	2.1547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	117.8021	106.7159	94.6949	82.6007	73.9536	61.8345	56.2647	52.6269	51.0186	50.6944	51.1491	52.0248	54.1656	55.8398	54.9721	51.7161	49.6805	47.6605	43.724	39.8929	36.169	31.6701	26.1607	22.596	19.194	16.1554	12.9398	9.7321	7.1639	4.3888	2.6829	0.6418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	118.0138	106.2391	98.2199	82.8505	76.457	68.061	60.2239	53.7459	52.5832	51.3466	51.7493	52.9541	56.2228	56.6636	55.0785	54.3123	51.5311	48.3227	45.4189	42.0082	37.8252	33.3431	27.5451	23.8961	20.6345	17.5934	14.1103	11.2636	7.8826	5.2831	3.5746	1.5968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	126.1053	111.1003	96.822	86.9887	77.7373	67.1586	60.7147	54.9212	52.6025	52.6967	53.2829	54.339	55.8975	57.0192	57.2952	55.7102	53.4962	50.8525	47.6139	44.0352	39.7624	35.1115	30.0147	25.3477	22.0715	18.7553	15.2778	11.8917	9.0722	6.3341	4.1361	2.5235	0.1683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
416	120.0883	104.8416	97.3465	87.8191	78.6707	69.8875	62.2503	57.0792	54.7595	53.3632	53.3363	56.3219	57.4758	59.362	58.0264	57.9093	54.4734	51.8948	49.3611	45.1204	41.586	37.6603	32.0013	26.8567	23.5585	19.9595	16.4797	13.0232	9.88	7.2811	5.0267	3.212	1.4395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	125.5553	119.1077	102.1548	90.8006	79.8716	72.0907	64.5305	57.1764	56.1087	54.5063	54.7696	57.1906	58.0057	59.7536	59.6895	59.1682	57.8966	54.505	51.4314	47.6873	43.7656	38.4863	33.8461	28.4334	24.8303	21.2142	17.7773	14.3059	11.0767	8.2891	5.801	4.064	2.2504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	122.7499	114.2707	104.9776	94.3675	84.6342	75.5918	66.1574	60.8935	56.5463	55.3918	55.9957	57.7908	59.8419	61.009	61.9913	59.7693	58.575	55.7703	53.2984	49.6349	45.0274	40.3525	35.5415	30.0201	26.1637	22.5834	19.0897	15.5968	12.6439	9.2827	6.6349	4.5579	3.0638	0.9837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
422	130.2635	117.3067	106.2939	95.5073	84.8268	76.2327	67.329	62.076	58.77	57.1908	57.5902	58.6828	61.6331	62.2449	62.4079	61.3499	60.3093	57.7654	54.4494	50.6203	46.8971	42.6793	37.538	32.2444	27.5658	23.9672	20.3212	16.8998	13.5136	10.3225	7.7048	5.191	3.7742	2.044	0	0.0121	0.0141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
424	126.342	124.0073	108.8094	98.8811	86.433	76.8739	67.9387	62.5617	59.5342	59.1681	57.7383	59.3922	61.7743	63.3721	62.3435	63.1965	61.6724	60.1149	57.0241	52.4741	48.1254	44.0052	39.8276	33.8573	28.9773	25.2658	21.5609	18.2117	14.5824	11.3948	8.3903	6.1908	4.2345	2.4724	0.5047	0.0363	0.0283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	138.6077	123.6038	108.1167	100.3628	90.1891	79.1337	70.0163	64.4074	61.0765	57.9806	58.2857	60.4665	63.4379	64.3297	64.6746	64.3218	63.1543	61.1243	58.3444	55.2536	49.9176	45.5435	41.2008	36.0236	30.4475	26.5686	22.9262	19.4272	15.6837	12.5036	9.4468	6.9107	5.0695	3.1759	1.3937	0.0608	0.0427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
428	131.4692	121.4107	109.6246	101.2264	90.6984	80.1532	72.6071	64.8778	60.7517	59.8917	59.6435	60.8982	63.0898	64.9297	65.2665	65.8321	64.591	62.5236	59.526	56.6714	52.6767	48.0395	42.4112	37.754	32.5879	27.9283	24.3435	20.4121	16.8225	13.4786	10.3358	7.72	5.629	4.1742	2.0953	0.0856	0.0287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430	139.663	128.4803	114.1689	100.4721	93.6881	82.0739	73.0871	65.6764	63.0113	60.7596	59.2447	61.6389	63.7042	65.6982	66.0896	66.8821	66.5186	63.5593	61.5199	58.8202	54.0602	48.5733	44.1013	39.6782	34.4907	29.3039	25.5012	21.4083	17.975	14.534	11.1126	8.7518	6.4803	4.3155	2.9849	0.9285	0.0144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
432	148.4652	131.0153	117.5541	102.9924	94.4216	83.4093	74.7527	69.662	63.683	61.9581	61.4472	62.5531	65.2877	67.4336	68.0014	67.7739	67.59	64.8421	62.6726	59.1008	55.4355	50.8846	45.24	40.4609	35.9424	30.6618	26.5039	22.5708	19.0927	15.585	12.3954	9.5695	7.2157	5.2358	3.7866	1.9803	0	0.0674	0.0788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
434	137.1768	120.9523	117.2871	103.7126	97.1993	86.5747	76.859	69.4806	63.7638	62.5106	61.7856	63.0433	65.1535	66.5532	68.3015	68.8327	67.5753	66.8008	64.0656	60.6555	56.7233	52.1348	46.3451	41.676	37.5856	32.952	27.5161	23.7448	20.1661	16.6467	13.2981	10.1366	8.1527	5.72	4.3788	2.8072	0.575	0.2033	0.1584	0	0	0	0	0	0	0	0	0	0	0	0	0	0
